,word,values_
1551,changzhou,"[ 4.7350e-01  5.2452e-02  1.3234e+00  1.7568e-01  3.0054e-01 -2.3801e-01
  1.3499e-02  1.1175e-01  1.2974e+00  5.1761e-01 -8.6597e-01 -2.6382e-01
  4.4170e-01  6.1765e-01 -7.7314e-01  8.6050e-01  1.9754e-01 -2.1140e-01
  3.4269e-01  7.8075e-02 -2.8098e-01  2.1966e-01 -6.2706e-01  2.6284e-01
 -2.0624e-01 -3.0774e-01  3.1166e-01  3.1765e-01 -7.4862e-01  3.1234e-01
 -6.0150e-01 -2.0560e-01  3.0632e-01  1.5613e-01 -5.8856e-01  5.8006e-01
  4.2209e-01 -1.6972e-01  2.4035e-01 -1.6878e-01  2.7495e-01 -2.1924e-01
 -7.2887e-01 -6.9538e-01  2.0310e-01  3.9555e-01  6.7730e-01  8.4812e-05
  1.2909e-01 -3.6472e-01 -7.1863e-01 -1.4700e-01 -1.2520e-01 -4.7496e-01
 -8.8883e-01  6.3538e-01 -1.1631e-01 -3.0359e-01 -9.7186e-01 -7.5170e-01
  1.6855e-01  2.9968e-01  4.2758e-02  3.6285e-01 -7.3763e-01  1.6623e-01
 -2.8157e-01  5.6061e-01 -1.1383e+00  1.4606e-02 -3.5751e-01 -2.6389e-01
  2.0985e-02  5.1859e-01 -1.6730e-01  3.5872e-01  6.5177e-01 -2.8001e-01
 -2.7437e-01 -3.2803e-01  7.2242e-01  2.1639e-01 -6.5031e-01  1.1882e+00
 -2.2511e-01  1.3944e+00 -1.3597e-01  5.7877e-03  3.2169e-01  8.0472e-01
  5.4879e-01 -1.6161e-01 -5.4299e-01  4.2320e-01 -3.3572e-01 -6.5961e-02
 -7.3689e-01  3.9822e-02  4.5183e-01  3.1610e-01]"
1552,tanjong,"[ 0.91572  -0.50821   0.34785  -0.18927   0.58437  -0.15201  -0.39825
  0.82684   0.48557   0.15036  -0.077283 -0.098375 -0.1236    0.24034
 -0.1202   -0.4073    0.34892  -0.15088   0.59455   0.32731   0.74419
 -0.38062   0.43821  -0.82873  -0.42266   0.074382  0.99079  -0.47618
 -0.17169  -0.74247  -0.58476   0.19847   0.46466  -0.011424  0.42197
  0.68855   0.17724  -0.13495   0.02129  -0.36267  -0.21171   0.022793
 -0.51394   0.035472  0.015869  1.3181    0.12083   0.90983  -0.027096
 -0.14711  -0.20479   0.43622   0.41548   0.082602 -0.40111   0.77569
  0.010124 -0.69929  -0.028996 -0.53944   0.043156 -1.2817   -0.41336
 -0.3315   -0.60328   0.64636  -0.37224  -0.26661  -0.20913   0.48184
 -0.37445   0.56399  -0.40758  -0.45572  -0.26018  -0.60256   0.77878
 -0.024592  0.78199   0.47156  -0.26895  -0.17927   0.32826   0.60953
 -0.02359  -0.040492  0.27677   0.10844   0.60982   0.74231  -0.87863
 -0.34374  -0.28486   0.71751   0.094146 -0.40754  -0.10145   0.10845
 -0.033548  0.63408 ]"
1553,capitales,"[ 1.4628e+00 -5.8225e-01 -5.8988e-02 -8.0298e-01  1.0081e-03 -4.1100e-01
  2.0119e-01  5.2304e-01  1.2450e+00 -1.9287e-02 -7.5999e-01 -4.0344e-01
 -1.2461e+00 -7.1709e-01 -3.6230e-01 -6.5427e-01  6.0857e-01 -4.7736e-01
  8.8813e-01 -2.3341e-01 -2.3903e-01  2.1657e-01 -8.7206e-01 -3.9574e-01
 -3.0056e-01  6.0438e-02  2.3820e-01 -5.4322e-01  1.1146e+00 -7.1712e-01
  1.4648e+00 -4.8168e-01  1.3295e-01  8.7127e-02  1.7749e+00 -9.1480e-01
 -1.2059e-02  4.4540e-01  3.4301e-01  2.4487e-01  4.5200e-01  4.0709e-02
 -9.3288e-01  2.8500e-01 -7.7719e-01 -2.8015e-02  6.6404e-01  4.8399e-01
 -6.2092e-01  5.0597e-01 -7.2459e-01  8.1570e-01 -6.4620e-01 -6.8715e-01
  1.0186e-01 -5.1913e-01 -4.1499e-01  2.8709e-01  6.4039e-01  4.7959e-01
 -1.1288e+00 -1.5654e-01  6.9074e-01 -1.3026e+00 -3.8154e-01  2.9938e-01
 -7.6657e-01 -3.7373e-01  6.8737e-01  5.6764e-01  3.2340e-01  1.2573e+00
 -2.6681e-02 -6.3375e-02  8.6925e-01 -9.5309e-01 -3.3613e-01  4.1759e-01
 -7.2984e-02 -3.5606e-01 -1.1247e+00 -4.4519e-01  3.5642e-01  1.0384e+00
  9.7585e-01 -8.0473e-01 -1.8500e+00  1.9102e-01 -1.6993e-01 -1.4099e-01
 -8.1629e-01 -6.4338e-01  6.3460e-01 -1.1162e+00  2.7792e-01  2.0823e-01
 -8.9065e-01  9.6083e-01 -6.3689e-01  7.9874e-01]"
1554,'88,"[ 0.061646   0.72325    0.51867   -0.51091   -0.54218   -0.060149
  0.26386    0.18425    0.30885    0.5895     0.30284    0.010506
 -0.29464   -0.47513   -0.56083    0.17088   -0.54689    1.0914
  0.18408   -0.98245    0.010515   0.36612    0.093819   0.47205
  0.077218   0.24782    0.032186   0.16455   -0.16764   -0.56103
 -0.14874    0.9094    -0.030009   0.57663   -0.063039   0.035386
  0.3957     0.38707   -0.093967  -0.078025  -0.27715   -0.44143
  0.1461    -0.22951    0.36372    0.40313    0.59235   -0.81614
 -0.37311   -0.48433   -0.9669     0.61862    0.17791    0.0091645
 -0.22388    0.33123    0.37575    0.68221   -0.5458    -0.42847
 -0.79142    0.66333   -0.22826   -0.050425   0.029236  -0.039196
 -0.10258   -0.79534   -0.16262    0.19334   -0.086006   0.25262
 -0.59093    0.26388   -1.0346     0.33502    0.15886    0.19121
 -0.41243   -0.20614   -0.29306    0.59382    0.95075   -0.088801
 -0.3889     0.90972   -0.090917   0.44635   -0.22821    0.39483
  0.39892    0.017622   0.24806    0.90185    0.50034   -0.47849
 -0.063432   0.73558   -0.52238   -0.044539 ]"
1555,josephs,"[-0.25837    0.44868   -0.45048    0.34211   -0.77508    0.19405
  0.24971   -0.32074    0.27125   -0.20266    0.32337    0.36156
 -0.32985    0.27016   -0.14457    0.15072   -0.085848  -0.099575
  0.043771   0.39237   -0.79329    0.19696    0.68339    0.56578
 -0.39464   -0.51841   -0.0439    -0.50348   -0.26136    0.69597
  0.11429   -0.14675    0.0044978  0.3808     0.0073867 -0.043868
  0.11015    0.28842   -0.23145    0.31412   -0.69823    0.60454
 -0.62957    0.10936   -0.061989  -0.2099    -0.45518   -0.10596
  0.16969    0.81371   -0.6754    -0.04497   -1.2122    -0.44492
  0.010209   0.32939   -0.069463   0.54262   -1.0502    -0.9813
 -0.73262    0.050603  -0.43467   -0.81605   -1.2343    -0.69614
  0.21924   -0.13013   -1.0223     0.72795   -0.57064   -0.18904
 -0.25378   -0.61472    0.65191   -0.34048   -0.034357   0.22346
 -0.20131    0.13218   -0.061452  -0.074914  -0.79627   -0.17381
  0.07912   -0.43987    0.39095   -0.047843   0.79205    0.27718
  0.17959    0.12673    0.02705    0.44051   -0.36157   -0.14148
  0.032713   0.0079483 -0.42014    0.24782  ]"
1556,ussf,"[ 0.31393    0.0035301  0.42776    0.0040473  0.246      0.33556
  0.27072    0.44619   -0.54232   -0.33065    0.081787  -0.8432
  0.33019   -0.90844    0.18997    0.0017227  0.58481    0.008656
  0.91718   -0.20905   -0.50299    0.40641    0.010341   0.15043
 -0.98976    0.35298    0.59073   -0.60885   -0.072386   0.63381
 -0.10461    0.95941   -0.92768    0.010306  -0.83262    0.71379
 -0.1032     0.37269    0.065971   0.31334    0.62656    0.21016
 -0.12559   -0.69618    0.06052   -0.28762    0.14988    0.34007
 -0.24056   -0.010985   0.3549    -0.63793   -0.93834    0.0098727
  0.91401    1.0215     0.37673    0.33332   -0.48525    0.41047
 -0.30234    0.065636  -0.67216    0.14471   -0.0918    -0.42887
 -0.41292    0.78863   -0.55715   -0.14256    1.3108    -0.22484
  0.17102    0.25624    0.066901   0.22116    0.76354    0.14382
 -1.1247    -0.0073122 -0.24833   -0.52554   -0.080631   0.65799
  0.93355   -0.47606    0.11192    0.15371    0.86474   -0.44672
  0.21255    0.20929   -1.0513     0.41783    0.72093   -1.0607
  0.26868    0.79097   -0.078196  -0.13628  ]"
1557,13.25,"[ 0.76904    0.55828    0.19141    0.15797    0.18236    0.1687
 -0.15988    0.0015817  0.11799   -0.019928   0.32836    0.2215
 -1.4157    -0.46624    0.3744    -0.15425   -0.025892  -0.081956
 -0.081735   0.29986    0.17423    0.021638   0.0067866  0.39573
  1.2566    -0.19728    0.2621     0.78587    0.0051725 -0.27628
  0.049055  -0.11123    0.35442   -0.36492    0.01601    0.54824
  0.64421   -0.21687    0.03323    0.69634    0.089348   0.0074307
 -0.0064059 -0.22107   -0.11       0.17041   -0.16284   -0.094932
 -0.3486    -0.75565   -0.23867   -0.68881    0.32319    0.24084
 -0.31653    0.35173    0.30869   -0.57516   -0.051489  -0.52125
 -0.27704   -0.64479   -0.19045    0.079217  -0.99162   -0.45418
  0.12529    0.094095   0.15777   -0.19949   -0.32585    0.39708
  0.12068    0.54874   -0.48132    0.25261   -0.26093   -0.26293
  0.32145    0.19287   -0.74801    0.015541  -0.072552   0.1026
  0.071281   0.275      0.39914    0.7503     0.13084    0.10135
  0.088454   0.63692    0.23088   -0.47626   -0.59562    0.13618
  0.29958    0.09244   -0.19191   -0.28282  ]"
1558,par-71,"[-7.2778e-01 -1.1040e-01  8.7938e-01  7.0137e-01 -4.3212e-01  5.3523e-01
  3.7530e-02  1.6139e+00 -1.0659e+00  1.4500e+00  5.7593e-01  7.6314e-01
  1.0809e-01 -1.0633e+00 -7.3442e-01  9.5234e-01  2.3961e-01 -6.5996e-01
 -2.6303e-01 -4.0261e-01 -2.4375e-01  2.8407e-01 -2.9952e-02 -1.1644e+00
  7.1347e-01 -2.3613e-01  3.4761e-02 -6.1844e-01 -6.5189e-01  6.4577e-01
 -1.1252e+00  2.2683e-02 -2.9595e-01 -6.8031e-01  8.1016e-02  2.6423e-01
 -7.6961e-01  1.5441e-01  5.5400e-01 -4.9238e-01  4.8036e-02 -7.0404e-01
  6.6070e-02  7.5504e-01 -5.6260e-01 -5.4582e-02  8.0451e-01  1.3451e-02
 -6.8414e-01  1.9042e-01 -4.3795e-01  3.5533e-01  2.6093e-01 -5.6336e-01
  7.2135e-01  4.5693e-02  2.9772e-01  9.7661e-01  1.5747e-01  4.4950e-01
 -2.8483e-01 -5.0048e-01 -3.2687e-01  3.3968e-01 -1.6752e+00  7.0888e-01
 -2.1815e-01 -1.2876e-01 -4.1484e-01 -4.2708e-02 -5.7186e-01  6.6684e-04
  1.4877e-02  2.0631e-01 -6.6402e-01 -3.7118e-01  1.3894e-02  1.3460e+00
  6.2915e-01  1.5973e-01  4.7588e-01  8.1299e-03  5.9878e-01  8.7653e-02
  4.7486e-01  7.9621e-01 -1.1017e-01  4.0036e-01  6.2218e-01  5.0430e-01
 -1.4363e+00  1.9393e-01  4.8908e-01  6.7945e-01  1.3339e-01 -7.5974e-02
 -5.3088e-02 -7.1738e-01  4.5569e-01  2.7980e-01]"
1559,30km,"[ 1.2454     0.62999    0.26527    0.68406    0.1661     1.0305
 -0.7253     0.73281   -0.66034    0.58744    0.3709     1.0823
  0.0097606 -0.67091   -0.24801    0.73879    0.37488   -1.0869
  0.03951   -0.4482     0.52654    0.69986    1.632      0.42897
 -0.33605    0.9321    -0.9526     0.25915    0.80193   -0.49795
 -0.61403   -0.63306    0.39374   -0.76849    0.7831    -0.754
  0.42142    0.9953    -0.84756    0.81051    0.062281   0.24128
 -0.40129   -0.0060812 -0.87371    0.048019   0.91729   -0.012305
  0.61132   -0.44732    0.40961   -0.11097   -0.063492  -0.34908
 -0.25469    0.16178   -0.42989    0.65718    0.4817    -0.36864
  0.27049    0.67058    0.07911   -0.42533    0.078086  -0.36544
 -0.087532  -0.23424   -0.22869   -0.44922   -0.42098   -0.23236
 -0.20296    0.38091    0.24297    0.12106    0.42184   -0.5797
  0.38049   -0.87234   -0.23894   -0.16148    0.79065    0.26785
  0.87081    0.40851   -0.96945   -0.11307    0.70896    0.40498
 -0.74579    0.6517    -0.1608     0.23608   -0.67028   -1.318
  0.47023   -0.58766   -0.4635     0.80429  ]"
1560,delimited,"[-6.4859e-01 -3.0203e-01  2.0346e-01 -4.1249e-02  5.4517e-02  7.5561e-01
 -3.4879e-01  3.6728e-01  5.8713e-01 -4.3797e-02 -4.5265e-01  7.2207e-02
  8.6880e-01 -9.2813e-01  6.7564e-01  5.9221e-01 -1.7101e-01  2.7931e-01
 -2.8906e-02 -4.9169e-01  1.2722e-01  2.4876e-01  1.8001e-01  3.6556e-01
  1.7535e-01 -6.8155e-01 -3.2948e-02  7.4337e-02 -3.2810e-01 -1.4084e-01
 -2.8713e-02 -4.1786e-01 -1.6714e-02  8.6409e-02  1.0908e+00  1.7279e-01
 -4.3235e-02 -1.1848e+00  1.3916e-01  1.8863e-01  2.1617e-01 -2.9172e-01
 -5.8981e-01  5.4750e-01  1.1252e-01  1.3516e-01  3.7786e-01  1.8387e-01
  2.4296e-02  6.9896e-01  4.0459e-01  6.9282e-01 -1.3094e-04 -3.5103e-01
 -6.0733e-01  2.7670e-01  3.6689e-01 -9.0709e-01 -1.1448e-01 -8.5312e-01
  1.2873e-01 -1.9156e-01  1.4914e-01 -1.7274e-02  2.8899e-01 -3.6270e-01
  5.6370e-01  6.7840e-01  3.9036e-01 -4.2974e-01  6.6844e-02 -8.6325e-02
  4.5304e-01 -2.4135e-01  1.4664e-01 -6.0510e-01  8.7874e-02  4.7863e-01
 -6.8282e-02 -1.1788e-01 -1.0613e+00 -4.4330e-02 -4.2183e-01  3.0014e-01
  1.2315e-01  4.2105e-01  4.5948e-02 -2.7978e-01  6.4617e-01 -1.2302e-01
 -1.1515e+00  5.2799e-01 -8.7708e-01 -1.2228e-01  4.8236e-01  2.5170e-01
  6.3752e-02  1.0993e-01 -4.3996e-01  5.5409e-02]"
1561,reappearing,"[ 0.085007  -0.074292   0.12961    0.030183   0.53307    0.7285
 -0.2872    -0.013638   0.70693   -0.11622   -0.046412   0.53021
  0.44167   -0.10084    0.33373   -0.077496   0.1639     0.39032
  0.75184   -0.85383   -0.011951   0.38887    0.021807   0.10293
  0.38721   -0.027811  -0.0072865 -0.11003   -0.066003   0.50272
  0.020316  -0.62051   -0.48409   -0.66379   -0.28178    0.087028
 -0.83858   -0.79445   -0.26302   -0.50889   -0.033928   0.47794
 -0.16406    0.39059    0.26272    0.50921    0.24342   -0.14508
  0.0095684 -0.48207    0.10993   -0.23209   -0.030764   0.57804
 -0.28085    0.47882   -0.14308   -0.32292   -0.68811    0.11304
 -0.26536    1.0934     0.26651    0.27      -0.18306    0.79476
  0.25223   -0.2305     0.27707   -0.030202  -0.43919   -0.22742
 -0.15323   -0.21745   -0.41041   -0.11062   -0.46573   -0.15241
  0.52363   -0.41533   -0.6206    -0.25094    0.034381   0.37119
  0.43221   -0.22911    0.1312     0.043789  -0.41476   -0.08385
 -0.39766    0.53688   -0.014357   0.096852  -0.26126   -0.11941
  0.25314    0.2187    -0.48252    0.22116  ]"
1562,stirrings,"[ 0.027118  0.97996   0.25462   0.44978   0.47655   0.36375  -0.2727
 -0.54145   0.059968 -0.048018 -0.33342   0.28908   0.27174  -0.37638
  0.48288   0.25094  -0.8149    0.46801   0.74649  -0.64205  -0.03885
  0.2938   -0.33347   0.08303  -0.18599  -0.24015   0.5206    0.24104
  0.13381  -0.032636 -0.063501 -0.54496   0.46748   0.27073  -0.17902
 -0.63666   0.12954  -0.1971   -0.24061   0.083998 -0.36185   0.31352
  0.15646  -0.16724  -0.05492  -0.013159  0.82753   0.21363   0.47986
 -0.13904  -0.16413   0.59054  -0.5079   -0.13963   0.50603   0.32024
  0.60532  -0.44612  -0.42455  -0.38885  -0.26451   0.90675  -0.32631
  0.74566   0.35896  -0.31826   0.18689  -0.7729   -0.071726 -0.82486
  0.52554  -0.39778  -0.45631  -0.3454   -0.68369   0.31437   0.1555
 -0.63739  -0.71173  -0.50804  -1.0597   -0.23042   0.50941   0.89105
 -0.15978  -0.47257   0.65332  -0.09851   0.12445  -0.28077   0.19564
  0.19682  -0.3216    0.17201  -0.21083  -0.14262   0.3301   -0.32022
 -0.66149   0.15795 ]"
1563,parnassus,"[ 0.0095559  0.38538   -0.41288   -0.46655    0.14527    0.14753
 -0.29987    0.24067   -0.46896   -0.13248    0.28988    1.1969
 -0.25601   -0.077825  -0.2106     0.074746   0.066356   0.37184
  0.36052    0.041162  -0.38271    0.25152   -1.1414    -0.087481
 -0.37691    0.82592    0.43824   -0.61454   -0.79365    0.12475
 -0.75284   -0.5983    -0.075069   0.57368   -0.71976    0.57148
  0.0043163  0.65177   -0.44352   -0.78437   -0.005445   0.6583
  0.24355   -0.044497  -0.17272   -0.21697   -0.48319    0.07786
  0.18159    1.2264    -0.4999     0.70573    0.68481   -0.13473
 -0.25149    0.17526    0.30216   -0.22113   -0.5286    -0.50816
  0.18804    0.13271    0.25954   -0.22364    0.014923  -0.022819
  0.10971   -0.11342    0.2295     0.021242  -0.40887   -0.078032
 -0.44997    0.16752   -0.84629   -0.21312   -0.036585   0.89847
 -0.22842   -0.6696    -0.37921    1.1399    -0.86192    0.015252
  0.41818    0.067493   0.44728    0.027054   0.6837     0.026919
 -0.48285    0.37684    0.14452   -0.12892    0.06488    0.61562
  0.5589     0.16295   -0.065801  -0.13781  ]"
1564,reintegrated,"[ 0.1907     0.31441    0.36902    0.57792    0.61114    1.1372
  0.78729    0.17388    0.70092    0.28509   -0.71005    0.20757
  0.9035    -0.42051    0.20853   -0.41696    0.54535    0.72898
 -0.48592   -0.5162     0.0095488 -0.079463   0.437      0.39111
 -0.047301   0.39174    0.39138   -0.13094    0.69711    0.1739
 -0.069422  -0.31113   -0.90459   -0.24594    0.7694     0.24564
 -0.10125   -0.24723   -0.94737   -0.46389   -0.35475   -0.20357
 -0.62352    0.52402   -0.015273   0.71766    0.1584     0.97863
  0.22817   -0.1873    -0.68277   -0.37247   -0.33572   -0.20408
  0.098888   1.2004     0.51718   -0.1324     0.47483   -0.20518
  0.97383    0.93837   -0.84263    0.51902   -0.037618   0.050936
 -0.50049    0.65371    0.14024    0.37473    0.85142   -0.60006
 -0.032667  -0.72068    0.21577   -0.45988    0.012293   0.17468
  0.058786  -0.40238   -0.15992    0.93438   -0.35655    1.196
  0.73257    0.34573    0.046233   0.30111   -1.1246    -0.35502
 -0.3895    -0.15995   -0.51556    0.060072   0.38762   -0.060794
  0.67198    0.68357   -0.75515   -0.10783  ]"
1565,30-mile,"[ 0.018905 -0.33731   0.03476   0.15606  -0.52581   0.22022  -0.041434
  1.7921   -0.32823  -0.095883  0.1434    0.81778  -0.1164   -0.49916
  0.94466   0.65413  -0.30206  -0.75831   0.12051  -0.45163   0.79275
  1.0429   -0.24643  -0.14273   0.26796  -0.19812  -0.42208   0.7539
 -0.056046  0.12523  -0.72218  -0.10808   0.76295  -1.238     0.53939
 -0.34013   0.10184  -0.11002   0.66616   1.2608    0.27644  -0.14707
 -0.13449   0.44006   0.28877  -0.25516   0.25657   0.087023  0.54162
  0.34813   1.0165    0.66247   0.42977  -0.38472   0.48248   0.31586
  0.51035   0.61204   0.21485  -0.46243   0.074512  0.17284   0.48774
  0.079094  0.047101  0.18073  -0.3952   -0.40925  -0.24767  -0.33585
  0.24039  -0.057545 -0.14716   0.37497  -0.37893  -1.1981   -0.64654
 -0.56712  -0.14357  -0.26438  -0.48412   0.41573   0.12429  -0.18998
 -0.039879  1.4463    0.1346    0.67734  -0.18551   0.59819   0.56551
  0.12526  -0.28274  -1.0146    0.31073  -0.51554   0.40706  -0.25446
 -0.20807  -0.05275 ]"
1566,1314,"[ 6.5274e-01 -6.2151e-01 -3.6342e-01  1.0383e+00 -4.8382e-01  5.7640e-01
  3.9068e-01 -7.3581e-01 -3.9540e-01 -9.0586e-01  4.6329e-01  2.4303e-02
 -2.6367e-01 -5.1281e-01  4.1649e-01 -3.9610e-01 -3.6783e-01 -4.4792e-01
  3.1591e-01 -2.7685e-01 -4.4703e-01 -4.5396e-01  5.0238e-01  1.5689e-02
  2.0122e-01 -3.8432e-01 -2.6404e-03  6.0691e-01  6.0447e-02 -4.8546e-01
 -4.0022e-01  1.1255e-01  4.5708e-01 -3.5512e-01 -3.9278e-01 -1.7315e-01
 -3.2982e-01 -1.4800e-01  2.1805e-01  4.5727e-01  2.5798e-01 -1.6165e-01
  7.7518e-02 -3.9441e-01 -7.5753e-01 -4.7085e-01  2.6538e-01 -1.8227e-01
 -5.0538e-01 -1.5972e-01 -4.4800e-01 -8.4546e-02  5.8480e-01  1.4701e-01
 -5.0988e-02  6.5615e-02 -7.6563e-02 -4.4571e-01 -1.2427e+00 -5.1576e-01
 -1.7671e-01  3.2308e-01  1.4429e-01 -1.9077e-01  5.8687e-02 -3.2010e-01
 -7.0629e-01 -5.9084e-01 -1.3234e-01 -1.5758e-01  3.7641e-01  5.0216e-02
  4.1919e-01 -1.3073e-01 -4.6715e-01 -1.9284e-01  7.4825e-01  6.4764e-01
 -6.6497e-01  3.6492e-01 -1.6600e-01 -9.6509e-01 -4.3148e-02  3.3006e-01
  4.8665e-01  3.3083e-01  2.0942e-01 -5.9676e-01 -3.2001e-01  6.2520e-01
 -2.0539e-01  2.3057e-04  5.7306e-01  8.5789e-01 -1.4360e-01  2.4015e-01
  6.4676e-01  4.3174e-01 -3.1181e-01 -8.8945e-01]"
1567,phenotypic,"[-0.11332   -0.3578    -0.10244    1.257     -0.60117    0.67568
 -0.29462    0.41226    0.38887   -0.23842   -1.4339    -0.46235
  0.30876   -0.47464    1.229      0.70782    0.30867    1.2793
  0.70598    0.64247    0.23051   -1.4306    -0.10048   -1.159
  0.70489   -0.52348    0.46677   -0.55569   -0.10412   -0.6816
 -0.0088119 -0.21818   -0.21762   -0.24939    1.5575    -1.2501
 -0.27802    0.55588   -0.73381    0.094707  -0.27137   -0.050288
 -1.0361     0.4389    -0.30801    1.6429    -0.20515   -0.65506
 -0.86134    0.47841    0.2616    -0.32796   -0.39601    0.72299
  1.0513     0.7401    -0.81128   -1.169     -0.3441    -0.85476
  0.33317    1.0745    -0.31248    0.4231     0.3725     0.045624
 -1.1023    -0.37397    0.3583    -0.021523  -0.71061    1.1492
  0.52328    0.87012   -0.55532   -0.64971   -0.60198   -0.61923
  0.32065   -0.3457    -0.11635   -1.152      0.99232   -0.11642
 -0.70537   -0.61914    1.0756     0.07334   -0.20278    0.26142
  0.40655    0.58099   -0.87023    0.48333    0.67244    0.50561
  0.0029537 -0.93781    0.1393     0.089471 ]"
1568,recreations,"[-0.35716   -0.30851    0.1172     0.14684    0.32027    0.44099
 -0.046342  -0.015984  -0.39307    0.019148  -0.15554   -0.19289
  0.072795  -0.54115    0.025258   0.42665    0.41673    0.82734
  0.33522    0.38889    0.054031   0.1496     0.04918    0.031228
 -0.018039  -0.67742   -0.09327    0.73939   -0.34259    0.0052362
 -0.35773   -1.1998    -0.39178    0.096226   0.096342   0.7775
 -0.31148   -0.0068053 -0.35543   -0.18184    0.46802    0.21426
  0.33066    0.33431   -0.049568   0.085471   0.064636   0.18206
  0.13286    0.18779    0.16507    0.16902   -0.20114    0.12204
  1.0144     0.96769    0.63457    0.024711  -0.39263    0.12063
 -0.83957    0.50523    0.20703    0.27972    0.028891  -0.39107
  0.36932   -0.63517   -0.10608    0.025931  -0.70162    0.27253
  0.5037     0.31608   -0.019982  -0.24594    0.67392    0.26679
  0.078367  -0.4154    -0.31276   -0.14856    0.36849    0.28748
 -0.61391   -0.087669  -0.21649   -0.21814   -0.089811  -0.19444
  0.05726   -0.0098328  0.58827    0.27626   -0.20881   -0.63247
  0.012608  -0.62711    0.15362    0.51258  ]"
1569,s.p.a.,"[ 4.6193e-01 -3.7253e-01 -4.3075e-01  3.8396e-01  5.0876e-01  4.7158e-01
  8.4592e-01 -5.9290e-01  2.8328e-02  1.6328e-01  1.0649e+00 -8.4804e-01
  1.2731e-01  3.8057e-01 -6.3750e-01 -5.7796e-01 -2.4363e-01  4.7513e-02
  1.1079e+00 -2.0595e-01 -3.5501e-01 -4.1045e-01  4.2462e-01  8.9142e-01
 -9.7283e-01 -4.6533e-01  6.2983e-02  1.0331e+00 -2.4862e-01 -6.5474e-01
 -4.0502e-01  5.7962e-01 -6.0633e-01  2.6227e-01  1.3252e-01  2.1230e-01
  1.0298e+00 -1.8222e-01  1.1044e-01 -4.7452e-01 -6.2881e-02  3.5103e-01
  3.7762e-01  1.6111e-01  1.7728e-01 -2.1320e-01  2.6227e-03  7.3984e-01
 -2.0563e-01  4.0454e-02 -4.8335e-01  2.4517e-01 -1.0635e-01  2.3841e-02
 -8.9083e-01  1.6420e-01 -5.5667e-01  9.5574e-01 -3.1897e-01 -5.1170e-01
  1.0674e+00 -1.7615e-01 -9.0955e-02 -3.7583e-01 -4.5838e-01  8.0636e-02
 -8.1097e-02 -6.1149e-01  1.1307e-01 -2.7046e-01  1.8255e-02  2.9112e-01
 -3.6028e-01 -5.9075e-02  7.3001e-01 -1.0207e-01  9.3926e-02 -5.0408e-01
 -1.7231e-01 -5.5968e-01  1.0327e-03 -1.0219e+00  2.0669e-02  9.2643e-01
  7.9161e-01 -2.9537e-01 -2.4195e-01 -1.8863e-01  2.8728e-01 -3.1379e-01
  3.1372e-01 -2.4484e-01  3.4364e-01 -4.0936e-01  5.5280e-01  2.9789e-01
  2.0518e-01 -4.2557e-02  7.4268e-01 -2.9705e-01]"
1570,warangal,"[-0.63867   -0.45601    0.72983    0.33458    0.19085    0.81637
 -0.075118   0.38984    0.3941     0.81291    0.15439   -0.38613
  0.028278  -0.20356   -0.11449   -0.18192    0.27304   -0.34711
  0.19265    0.33876    0.082476   0.46672    0.24234    0.42218
 -1.0588     0.084844   0.089533   0.92424    0.30869   -0.20844
  0.27246   -0.25859    0.46351   -0.41962   -0.10725   -0.38236
 -0.38134    0.089115  -0.25692   -0.36617    0.11824   -0.01045
 -0.30167   -0.81815   -0.31127   -0.12481    1.3931     0.077395
  0.016479   0.27888   -0.58192   -0.11997    0.61243   -0.0063567
 -0.24086    0.80119   -0.45843   -0.7227    -0.10548   -0.7375
 -0.25056    0.18311    0.7928     1.5467    -0.46259    0.32883
  0.094714  -0.25312   -0.24183    1.0876     0.26205    0.2104
  0.25767   -0.0075591 -0.40106    0.2039     0.68445   -0.23997
  0.47278   -0.13463   -0.44485    0.21047   -0.47041    0.31117
  0.069395   0.92304   -0.43993   -0.73888    0.44492    0.33579
  0.34164   -0.36101   -0.49828   -0.12353    0.2228     0.1109
  1.0992     0.61213    0.26551    0.31444  ]"
1571,finmeccanica,"[ 0.32644   -0.43518    0.41002    0.94249   -0.042962  -0.21634
  0.07303    0.085541  -0.14651    1.3426     0.89903   -0.373
 -0.33412    0.14955   -0.78462   -0.63966    0.14732   -0.55593
  0.50097    0.62847   -0.34693   -0.24196   -0.23251    1.1215
 -0.72533   -0.33744    0.70332    1.1612    -0.60232   -1.0588
 -0.59882    0.78719   -0.60719   -0.67556    0.22593    0.12107
  1.0084     0.26422    0.042817  -0.20961    0.48415    0.3791
  0.36837    0.22566   -0.24397    0.1549    -0.6863     1.1973
  0.24106    0.12645    0.17667    0.19013   -0.29631    0.23481
 -0.29128    0.12924   -0.0827     0.20433   -0.077634   0.23302
  0.78104   -0.21276    0.96284   -0.2648    -0.44992    0.38457
 -0.53922    0.58532   -0.17191   -0.066455   0.35987    0.355
 -0.0083205  0.11613   -0.24237   -0.44898   -0.077221  -0.13294
  0.53268    0.65414   -0.10388   -0.40229    0.17384    2.0817
  0.21669   -0.87305   -0.032047   1.1604    -0.25259    0.10654
  0.36539   -0.64855    0.21861   -0.2328     0.6632     0.60181
 -0.22113   -0.47904    0.075316  -0.24306  ]"
